"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Taxon author","Name qualifier","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End date day","End date month","End date year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Vitality"
"3b69fe21-8d3d-4aa6-94ba-b230b3fd3900","CI00001100004B7I","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-26","26","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"3970f631-ad40-469a-b1b4-edadd01ce513","CI00001100004AZV","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-11","11","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"389be6b4-1e8f-4a1e-a400-de2c64b130c9","CI00001100004B4N","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-22","22","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"18d8cd9d-924c-4b2c-a67d-4c6c596cc59a","CI00001100004B1B","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-14","14","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"1734de05-9a3a-4a88-b0b2-0a54ccc6f509","CI00001100004B1J","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-15","15","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"1608937a-63a6-4111-a94c-0dfcc4a8ad00","CI00001100004AZ6","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-10","10","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"1215e08e-8297-4e25-9874-c3dddaab9088","CI00001100004B3G","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-19","19","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","3","","","","3 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"0e92bee9-ea3e-4ab0-8729-a74b3e575b02","CI00001100004B5W","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-24","24","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","3","","","","3 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"016e7b25-feaf-483c-af67-c5750edd1bfe","CI00001100004B87","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-27","27","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"ec6fc8d0-26f8-4fe7-ba9f-71557c94ffff","CI00001100004BPW","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-06-26","26","06","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","","2 juvenile; 5 adult","multiple abundances","","2 Juvenile (Exact); 5 Adult (Exact)","","","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"e002ad17-2dc5-4ad7-a6cf-5e2578c7c465","CI00001100004BFN","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-06-10","10","06","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","","2 adult; 2 juvenile","multiple abundances","","2 Adult (Exact); 2 Juvenile (Exact)","","","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"dec34522-7589-4171-b949-fb7448be5c96","CI00001100004BS3","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-06-30","30","06","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","","2 adult; 2 juvenile","multiple abundances","","2 Adult (Exact); 2 Juvenile (Exact)","","","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
